,team_points,opponent_points,win_rate,avg_reward,policy_loss,value_loss,total_loss
8776,57912.0,64077.0,47.473132823451294,0.2224049291240288,-0.7475173473358154,0.0590563863515853,-0.3147022724151611
8777,58002.0,64144.0,47.48579568712852,0.2225504912500908,-0.6488238573074341,0.0897129401564598,-0.2346989810466766
8778,58092.0,64211.0,47.49842604024431,0.2225331456439693,-0.7588415145874023,0.144767940044403,-0.2346528172492981
8779,58106.0,64354.0,47.448962926669935,0.2223586308131339,-0.8555999994277954,0.0575751289725303,-0.3702248632907867
8780,58203.0,64414.0,47.46731692995262,0.2224982892035573,-0.7193422317504883,0.0983387306332588,-0.2613323926925659
8781,58293.0,64481.0,47.47992245915259,0.2224885244800336,-0.6620268821716309,0.1291218549013137,-0.2018915861845016
8782,58415.0,64516.0,47.51852665316316,0.2225580954698792,-0.5930728912353516,0.0701389610767364,-0.2263974845409393
8783,58492.0,64596.0,47.52047315741584,0.222388296520885,-0.5855498909950256,0.1583386361598968,-0.1344363093376159
8784,58604.0,64641.0,47.550813420422735,0.2223577187684296,-0.7492066025733948,0.1893230676651001,-0.1852802336215973
8785,58638.0,64764.0,47.51786843000924,0.2223163940055858,-0.9090540409088136,0.1170680820941925,-0.3374589383602142
8786,58764.0,64795.0,47.559465518497234,0.2225399989147799,-0.557812511920929,0.0803840160369873,-0.1985222399234771
8787,58817.0,64899.0,47.54195091984869,0.2225316156498591,-0.7460671663284302,0.1276551336050033,-0.2453784495592117
8788,58867.0,65006.0,47.52205888288812,0.2224263697967724,-0.7186732888221741,0.1362020373344421,-0.2231346070766449
8789,58960.0,65070.0,47.53688623720068,0.2225320779587468,-0.7187013626098633,0.0493445992469787,-0.3100060820579529
8790,58984.0,65203.0,47.49611473020525,0.222401638494695,-0.5800080299377441,0.073814533650875,-0.2161894738674163
8791,59025.0,65319.0,47.46911793090137,0.2223036166025306,-0.7692375183105469,0.0544626265764236,-0.330156147480011
8792,59106.0,65395.0,47.47431747536165,0.2223302208110291,-0.7796607613563538,0.0539493411779403,-0.3358810544013977
8793,59218.0,65440.0,47.50437196168718,0.2224063073397929,-0.7810793519020081,0.1053636744618415,-0.285176008939743
8794,59299.0,65516.0,47.50951408083965,0.2223440385150163,-0.6670964956283569,0.0604758039116859,-0.2730724513530731
8795,59342.0,65630.0,47.48423646896905,0.2221225535686603,-0.7302731275558472,0.0996371358633041,-0.2654994130134582
8796,59362.0,65767.0,47.44064125822152,0.2219635198598067,-0.6870632171630859,0.7051955461502075,0.3616639375686645
8797,59424.0,65862.0,47.4306786073464,0.2219970219911671,-0.6858683824539185,0.0656594261527061,-0.2772747576236725
8798,59548.0,65895.0,47.47016573264351,0.2222656728497485,-0.8124480247497559,0.0531640835106372,-0.3530599176883697
8799,59608.0,65992.0,47.45859872611465,0.2222689486714732,-0.7827725410461426,0.1341690421104431,-0.2572172284126282
8800,59640.0,66117.0,47.42479543882249,0.2221801047113468,-0.5927388072013855,0.1557663232088089,-0.1406030803918838
8801,59708.0,66206.0,47.41966739202948,0.2221524025660252,-0.6245613694190979,0.1043041869997978,-0.2079764902591705
8802,59790.0,66281.0,47.42565697107185,0.2222535750171224,-0.7185946702957153,0.0876751840114593,-0.2716221511363983
8803,59879.0,66349.0,47.4371771714675,0.2224166189386035,-0.7413349151611328,0.0413627699017524,-0.3293046951293945
