,episode,team_points,opponent_points,win_rate,avg_reward,policy_loss,value_loss,total_loss
43,44,3460.0,3448.0,31.818181818181817,-0.044041450777202,-0.4529979228973388,0.0310847982764244,-0.1954141557216644
44,45,3548.0,3517.0,33.33333333333333,-0.0405576679340937,-0.4530757665634155,0.0616730228066444,-0.1648648679256439
45,46,3668.0,3554.0,34.78260869565217,-0.037174721189591,-0.5155367255210876,0.0974465981125831,-0.1603217720985412
46,47,3668.0,3711.0,34.04255319148936,-0.0400485436893203,-0.5779968500137329,0.0367164500057697,-0.2522819638252258
47,48,3791.0,3745.0,35.41666666666667,-0.0368171021377672,-0.5412969589233398,0.1579955071210861,-0.1126529723405838
48,49,3832.0,3861.0,34.69387755102041,-0.0401162790697674,-0.5622408390045166,0.0841599404811859,-0.1969604790210724
49,50,3852.0,3998.0,34.0,-0.0427594070695553,-0.577838659286499,0.1306570768356323,-0.1582622528076172
50,51,3873.0,4134.0,33.33333333333333,-0.0458100558659217,-0.48228520154953,0.091594822704792,-0.1495477855205536
51,52,3961.0,4203.0,32.69230769230769,-0.0443592552026287,-0.5352144241333008,0.0818843618035316,-0.1857228577136993
52,53,4036.0,4285.0,32.075471698113205,-0.0472610096670247,-0.5465990304946899,0.2908215820789337,0.0175220668315887
53,54,4130.0,4348.0,31.48148148148148,-0.0458377239199157,-0.5572049617767334,0.2646003663539886,-0.014002114534378
