,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
66,67,5021.0,5498.0,0,35,52.23880597014925,,0.010011424219345023,-0.08233512938022614,0.14490705728530884,0.10373949259519577,13.145000000000014
67,68,5059.0,5617.0,0,35,51.470588235294116,,0.005815176558978222,-0.024102821946144104,0.28279560804367065,0.2707442045211792,7.7400000000000135
68,69,5136.0,5697.0,0,35,50.72463768115942,,0.002018518518518529,-0.02870575711131096,0.3965004086494446,0.38214752078056335,2.725000000000014
69,70,5249.0,5741.0,0,35,50.0,,0.005818312905551561,-0.15512724220752716,0.19236330687999725,0.11479968577623367,8.070000000000014
70,71,5380.0,5767.0,0,35,49.29577464788733,,0.009676156583629903,-0.08833055943250656,0.4526798129081726,0.40851452946662903,13.595000000000015
71,72,5456.0,5848.0,0,35,48.61111111111111,,0.006022487702037958,-0.06161647289991379,3.3826212882995605,3.3518130779266357,8.570000000000014
72,73,5552.0,5909.0,0,35,47.94520547945205,,0.009531900138696266,-0.08870866894721985,0.1735759824514389,0.12922164797782898,13.745000000000015
73,74,5625.0,5993.0,0,35,47.2972972972973,,0.005952054794520559,-0.046372190117836,0.6002335548400879,0.5770474672317505,8.690000000000015
74,75,5711.0,6064.0,0,35,46.666666666666664,,0.009195056780227131,-0.15386240184307098,0.3676530718803406,0.2907218635082245,13.765000000000015
75,76,5827.0,6105.0,0,35,46.05263157894737,,0.01262532981530344,-0.1598435640335083,0.10286328941583633,0.022941507399082184,19.140000000000015
76,77,5904.0,6185.0,0,35,45.45454545454545,,0.009201954397394145,-0.09291210770606995,0.17078465223312378,0.1243285983800888,14.125000000000014
77,78,5982.0,6264.0,0,35,44.871794871794876,,0.009124677002583988,-0.09921405464410782,0.22404685616493225,0.17443983256816864,14.125000000000014
78,79,6045.0,6358.0,0,35,44.303797468354425,,0.009124677002583988,-0.05621124431490898,0.4141197204589844,0.38601410388946533,14.125000000000014
79,80,6198.0,6362.0,0,35,43.75,,0.009124677002583988,-0.22778937220573425,0.13757091760635376,0.023676231503486633,14.125000000000014
80,81,6267.0,6450.0,0,35,43.20987654320987,,0.009124677002583988,-0.08958522975444794,0.11369461566209793,0.06890200078487396,14.125000000000014
81,82,6332.0,6542.0,0,35,42.68292682926829,,0.009124677002583988,-0.19068044424057007,0.1387922167778015,0.04345199465751648,14.125000000000014
82,83,6365.0,6666.0,0,35,42.168674698795186,,0.009124677002583988,-0.12594258785247803,0.1035790964961052,0.04060780256986618,14.125000000000014
83,84,6484.0,6704.0,0,35,41.66666666666667,,0.009124677002583988,-0.10545835644006729,0.16095837950706482,0.10822920501232147,14.125000000000014
84,85,6550.0,6795.0,0,35,41.17647058823529,,0.009124677002583988,-0.08438087999820709,0.1667129546403885,0.12452251464128494,14.125000000000014
85,86,6681.0,6821.0,0,35,40.69767441860465,,0.009124677002583988,-0.04284430667757988,0.029234664514660835,0.007812511175870895,14.125000000000014
86,87,6787.0,6872.0,0,35,40.229885057471265,,0.009124677002583988,-0.1180749386548996,0.08329379558563232,0.024256326258182526,14.125000000000014
87,88,6904.0,6912.0,0,35,39.77272727272727,,0.009124677002583988,-0.16710010170936584,0.030624885112047195,-0.05292516574263573,14.125000000000014
88,89,6955.0,7018.0,0,35,39.325842696629216,,0.009124677002583988,-0.08000179380178452,0.043339796364307404,0.003338899463415146,14.125000000000014
89,90,7021.0,7109.0,0,35,38.88888888888889,,0.009124677002583988,-0.04641454294323921,0.04175964370369911,0.018552372232079506,14.125000000000014
90,91,7097.0,7190.0,0,35,38.46153846153847,,0.009124677002583988,-0.11804421246051788,0.05009733512997627,-0.008924771100282669,14.125000000000014
91,92,7234.0,7210.0,1,36,39.130434782608695,,0.012578174856413538,-0.09599773585796356,0.08140227198600769,0.03340340405702591,19.710000000000015
92,93,7321.0,7280.0,1,37,39.784946236559136,,0.015633669609079456,-0.09348508715629578,0.059637974947690964,0.012895431369543076,24.795000000000016
93,94,7404.0,7354.0,1,38,40.42553191489361,,0.01860349127182046,-0.12556956708431244,0.04180428758263588,-0.02098049595952034,29.840000000000018
94,95,7506.0,7409.0,1,39,41.05263157894737,,0.021374162096282765,-0.08756832778453827,0.05689214915037155,0.013107985258102417,35.07500000000002
95,96,7536.0,7536.0,0,39,40.625,,0.017836045810729367,-0.08726448565721512,0.038293398916721344,-0.005338843911886215,29.590000000000018
96,97,7596.0,7633.0,0,39,40.20618556701031,,0.014552772808586774,-0.07781854271888733,0.682286262512207,0.6433770060539246,24.40500000000002
97,98,7687.0,7699.0,0,39,39.795918367346935,,0.017411556603773595,-0.09172098338603973,0.7431434392929077,0.6972829699516296,29.53000000000002
98,99,7729.0,7814.0,0,39,39.39393939393939,,0.014098599766627784,-0.08250293135643005,0.12567996978759766,0.08442850410938263,24.16500000000002
99,100,7882.0,7818.0,1,40,40.0,,0.017081667618503726,-0.12606334686279297,0.08301297575235367,0.019981302320957184,29.91000000000002
100,101,7905.0,7952.0,0,40,39.603960396039604,,0.013767665347654055,-0.02071574702858925,0.10316642373800278,0.0928085520863533,24.35500000000002
101,102,7963.0,8051.0,0,40,39.21568627450981,,0.010716284275321779,-0.117991603910923,0.0754106417298317,0.016414839774370193,19.15000000000002
102,103,8074.0,8097.0,0,40,38.83495145631068,,0.013559556786703612,-0.06505537778139114,0.08673756569623947,0.0542098768055439,24.47500000000002
103,104,8149.0,8179.0,0,40,38.46153846153847,,0.013537057522123905,-0.060526568442583084,0.036482468247413635,0.006219184026122093,24.47500000000002
104,105,8207.0,8278.0,0,40,38.095238095238095,,0.013537057522123905,-0.13864506781101227,0.05872291326522827,-0.010599620640277863,24.47500000000002
105,106,8333.0,8309.0,1,41,38.67924528301887,,0.016392993979200885,-0.08507682383060455,0.02698003686964512,-0.015558375045657158,29.950000000000017
106,107,8439.0,8360.0,1,42,39.25233644859813,,0.019081798483206944,-0.11977341026067734,0.18414458632469177,0.1242578774690628,35.225000000000016
